Indicator,Type,Description
fcae6b88640b58d289df42ae2d15e3ca,MD5,Maldoc - Important Document.doc
80326b1e151e8348307114c8115e275c2fd63f0d2eb1dfacb6eca9840cf98525,SHA256,Maldoc - Important Document.doc
hXXp[:]//windowsupdates[.]shop/test[.]dotx,URL,C2
28e5fceaa9878bfbe967639cf2a2fb9b,MD5,"test.dotx, abc.wsf"
26b113ba29b037034ee34a7f0fea81f6d5452950e0d26058d9b96946d78570c5,SHA256,"test.dotx, abc.wsf"
51.222.103[.]8,IP,C2
5abd9f1828e3c6d899b9c8ba79c16473,MD5,winint.bat
facb0bfb3123540415b28881bcf951b29ccdd3abace54747d76f19017e80e8d9,SHA256,winint.bat
1cb100825912dd70c3a8f8e11fadc97f,MD5,winint.crt
b4e22ffcaa349618342a933c2cc72896e8273c2095a1f232d7e34b119f485595,SHA256,winint.crt
C219A8C50624F9DD9FC0F3C32510EA77,MD5,"winupdates, gup.exe, Taskhostw.exe, smss.exe"
3F9FAC91288139F81D4949CD5DADDC131AA3443D2A8631093D971B2EBDE6AE77,SHA256,"winupdates, gup.exe, Taskhostw.exe, smss.exe"
314328E63B2E55A9C20BBDA313AB4D04,MD5,"winupdate, libcurl.dll (Loader)"
55F43319B910037D5B2EB8A5E57A14FCA88E22BB0F40E453E510CC375A42BF43,SHA256,"winupdate, libcurl.dll (Loader)"
BFEC9148F90D1565AE334302D79B890964DD4C89,MD5,NewsPenguin
EA732F213FCFC27E386471C290A342B7905FF8030888979D8220403A94D2CDCD,SHA256,NewsPenguin
updates.win32[.]live        ,URL,C2
C:\Users\admin\source\repos\BeetleVx\libcurl\processhollow\libcurl\Release\libcurl.pdb,PDB path,PDB path from loader file
185.198.59[.]109,IP,C2
8B0BF3F5F0AC4605C8C5EF73EB121757,MD5,libcurl.dll (Loader)
4C003C63F1A7C6D2EAEEB18D37B3EE824C82E1C0C44458A9510EF28C265962C6,SHA256,lincurl.dll (Loader)
861B80A75ECFB083C46F6E52277B69A9,MD5,updates (XOR encrypted)
538bb2540aad0dcb512c6f0023607382456f9037d869b4bf00bcbdb18856b338,SHA256,updates (XOR encrypted)
Windows.20H2.85685475,Mutex,Mutex
