Indicator,Type,Description
168.206.184.193,IP,TeamServer IP
168.206.184.194,IP,TeamServer IP
168.206.184.195,IP,TeamServer IP
168.206.184.196,IP,TeamServer IP
168.206.184.197,IP,TeamServer IP
168.206.184.198,IP,TeamServer IP
168.206.184.199,IP,TeamServer IP
168.206.184.200,IP,TeamServer IP
168.206.184.201,IP,TeamServer IP
168.206.184.202,IP,TeamServer IP
168.206.184.203,IP,TeamServer IP
168.206.184.204,IP,TeamServer IP
168.206.184.205,IP,TeamServer IP
168.206.184.206,IP,TeamServer IP
168.206.184.207,IP,TeamServer IP
168.206.184.208,IP,TeamServer IP
168.206.184.209,IP,TeamServer IP
168.206.184.210,IP,TeamServer IP
168.206.184.211,IP,TeamServer IP
168.206.184.212,IP,TeamServer IP
168.206.184.213,IP,TeamServer IP
168.206.184.214,IP,TeamServer IP
168.206.184.215,IP,TeamServer IP
168.206.184.216,IP,TeamServer IP
168.206.184.217,IP,TeamServer IP
168.206.184.218,IP,TeamServer IP
168.206.184.219,IP,TeamServer IP
168.206.184.220,IP,TeamServer IP
168.206.184.221,IP,TeamServer IP
168.206.184.222,IP,TeamServer IP
168.206.185.193,IP,TeamServer IP
168.206.185.194,IP,TeamServer IP
168.206.185.195,IP,TeamServer IP
168.206.185.196,IP,TeamServer IP
168.206.185.197,IP,TeamServer IP
168.206.185.198,IP,TeamServer IP
168.206.185.199,IP,TeamServer IP
168.206.185.200,IP,TeamServer IP
168.206.185.201,IP,TeamServer IP
168.206.185.202,IP,TeamServer IP
168.206.185.203,IP,TeamServer IP
168.206.185.204,IP,TeamServer IP
168.206.185.205,IP,TeamServer IP
168.206.185.206,IP,TeamServer IP
168.206.185.207,IP,TeamServer IP
168.206.185.208,IP,TeamServer IP
168.206.185.209,IP,TeamServer IP
168.206.185.210,IP,TeamServer IP
168.206.185.211,IP,TeamServer IP
168.206.185.212,IP,TeamServer IP
168.206.185.213,IP,TeamServer IP
168.206.185.214,IP,TeamServer IP
168.206.185.215,IP,TeamServer IP
168.206.185.216,IP,TeamServer IP
168.206.185.217,IP,TeamServer IP
168.206.185.218,IP,TeamServer IP
168.206.185.219,IP,TeamServer IP
168.206.185.220,IP,TeamServer IP
168.206.185.221,IP,TeamServer IP
168.206.185.222,IP,TeamServer IP
168.206.186.193,IP,TeamServer IP
168.206.186.194,IP,TeamServer IP
168.206.186.195,IP,TeamServer IP
168.206.186.196,IP,TeamServer IP
168.206.186.197,IP,TeamServer IP
168.206.186.198,IP,TeamServer IP
168.206.186.199,IP,TeamServer IP
168.206.186.200,IP,TeamServer IP
168.206.186.201,IP,TeamServer IP
168.206.186.202,IP,TeamServer IP
168.206.186.203,IP,TeamServer IP
168.206.186.204,IP,TeamServer IP
168.206.186.205,IP,TeamServer IP
168.206.186.206,IP,TeamServer IP
168.206.186.207,IP,TeamServer IP
168.206.186.208,IP,TeamServer IP
168.206.186.209,IP,TeamServer IP
168.206.186.210,IP,TeamServer IP
168.206.186.211,IP,TeamServer IP
168.206.186.212,IP,TeamServer IP
168.206.186.213,IP,TeamServer IP
168.206.186.214,IP,TeamServer IP
168.206.186.215,IP,TeamServer IP
168.206.186.216,IP,TeamServer IP
168.206.186.217,IP,TeamServer IP
168.206.186.218,IP,TeamServer IP
168.206.186.219,IP,TeamServer IP
168.206.186.220,IP,TeamServer IP
168.206.186.221,IP,TeamServer IP
168.206.186.222,IP,TeamServer IP
168.206.187.193,IP,TeamServer IP
168.206.187.194,IP,TeamServer IP
168.206.187.195,IP,TeamServer IP
168.206.187.196,IP,TeamServer IP
168.206.187.197,IP,TeamServer IP
168.206.187.198,IP,TeamServer IP
168.206.187.199,IP,TeamServer IP
168.206.187.200,IP,TeamServer IP
168.206.187.201,IP,TeamServer IP
168.206.187.202,IP,TeamServer IP
168.206.187.203,IP,TeamServer IP
168.206.187.204,IP,TeamServer IP
168.206.187.205,IP,TeamServer IP
168.206.187.206,IP,TeamServer IP
168.206.187.207,IP,TeamServer IP
168.206.187.208,IP,TeamServer IP
168.206.187.209,IP,TeamServer IP
168.206.187.210,IP,TeamServer IP
168.206.187.211,IP,TeamServer IP
168.206.187.212,IP,TeamServer IP
168.206.187.213,IP,TeamServer IP
168.206.187.214,IP,TeamServer IP
168.206.187.215,IP,TeamServer IP
168.206.187.216,IP,TeamServer IP
168.206.187.217,IP,TeamServer IP
168.206.187.218,IP,TeamServer IP
168.206.187.219,IP,TeamServer IP
168.206.187.220,IP,TeamServer IP
168.206.187.221,IP,TeamServer IP
168.206.187.222,IP,TeamServer IP
168.206.188.193,IP,TeamServer IP
168.206.188.194,IP,TeamServer IP
168.206.188.195,IP,TeamServer IP
168.206.188.196,IP,TeamServer IP
168.206.188.197,IP,TeamServer IP
168.206.188.198,IP,TeamServer IP
168.206.188.199,IP,TeamServer IP
168.206.188.200,IP,TeamServer IP
168.206.188.201,IP,TeamServer IP
