Indicator,Type,Description
139.60.161.50 ,IP,TeamServer IP
149.28.45.70 ,IP,TeamServer IP
159.65.36.16 ,IP,TeamServer IP
162.247.154.106 ,IP,TeamServer IP
185.172.129.132 ,IP,TeamServer IP
192.95.16.245 ,IP,TeamServer IP
193.34.167.34 ,IP,TeamServer IP
195.123.240.219 ,IP,TeamServer IP
45.176.188.137 ,IP,TeamServer IP
45.63.69.93 ,IP,TeamServer IP
5.149.253.199 ,IP,TeamServer IP
51.81.142.72 ,IP,TeamServer IP
74.121.191.2 ,IP,TeamServer IP
74.50.60.96 ,IP,TeamServer IP
2ef55f7755d49341c8b676bfee63d418,Public Key,SSL Public Key MD5
84df3936c26ba902aef6ba1c0607a737,Public Key,SSL Public Key MD5
cd075fe1780e73809b257cbfc31e9179,Public Key,SSL Public Key MD5
e9ae865f5ce035176457188409f6020a,Public Key,SSL Public Key MD5 (used by multiple groups)
080193ac95e420835d50206ab6d5040a1aaf91908c6472e1cdf55ee547107783,SHA256,Beacon
0e04d8a9816f969c87e6d363f1b3c05a8fb6b74dad277f11686f3af2f4d09631,SHA256,Beacon
0eef75ffc9f2ad5da45f3511c2f210096b9356bb8b3bcede1241f435506ecf4b,SHA256,Beacon
1aadd9bc58ececbe3b78b9ffe3b317f3a6059f4efee180fd95ea2e88fde2f918,SHA256,Beacon
20ee495e476b8ddf1498482a7855511c07c129e23c3465c230fb1fecbe6f5493,SHA256,Beacon
22c691a0ac5cf36091336c5940122a98a3f9bd2283fe753b61257cf616cceaf9,SHA256,Beacon
39cadc4489434aec3ffe43936709ceaa4e122f79409369c0964afcfc2888dffd,SHA256,Beacon
3dc5df133d8dbe56db81d6f4ea8f88d8e201e382140cc4b721cdbd2d43f9467a,SHA256,Beacon
3e724caa9be6da8e300f4508e6a34d10fd2e42c6a3e7c08120507ae8f5133a6a,SHA256,Beacon
421c981446075ad5170b32bbc5446b9d983910965024cfc2417224969d35d9fd,SHA256,Beacon
