Indicator,Type,Description
45.153.241.16,IP,Team Server
964e6c7093714e16272ef09c0fb0a3f6de56ce5793d919f4b41d36440dea69c9,SHA256,Beacon Shellcode
45.153.241.16/pixel,URL,C2 Server URL
08667f52beeb3920126d8507c00c0e79,Public Key,SSL Public Key MD5
172.106.86.22,IP,Team Server
9ba0a62a3a2545a1406168bde7f116ed69f49f1b254975e1b5e4eef80fa0855d,SHA256,Beacon Shellcode
34123e305cd559188d38ac810a729757ac2911aa262e5b0bff0efef0880c413e,SHA256,Beacon Shellcode
45.176.188.137/ca,URL,C2 Server URL
45.176.188.137/pixel,URL,C2 Server URL
162.252.172.41,IP,Team Server
d6ef5a15b2a3a4b92cd2d775fd9858667795c0cead696b6f667b23a9eb9720fe,SHA256,Beacon Shellcode
7a11145efef78adbc4e2fa385a93f911ab3a1de0b3a34d42344d9364f7729773,SHA256,Beacon Shellcode
e921cef253850cbffdf804350678e2c120d2cacb38e8c307dabdefc4a1c7d6a0,SHA256,Beacon Shellcode
0a69669137700ac62343116340a953191c127ec1a385d5fcc37ac7862d6c20ef,SHA256,Beacon Shellcode
51.81.142.72/fwlink,URL,C2 Server URL
172.106.86.22/IE9CompatViewList.xml,URL,C2 Server URL
172.106.86.22/pixel.gif,URL,C2 Server URL
51.81.142.72/push,URL,C2 Server URL
e6e5f2182c9a58e5131efaaf490bd00ec8bf0cc488d087f751cb4e028f824c31,SHA256,Beacon
9c624b2949c42ca4f556f71bea7dab078b1b9b13b0fa739976643c92b1942be3,SHA256,Beacon
39cadc4489434aec3ffe43936709ceaa4e122f79409369c0964afcfc2888dffd,SHA256,Beacon
3dc5df133d8dbe56db81d6f4ea8f88d8e201e382140cc4b721cdbd2d43f9467a,SHA256,Beacon
0c3480ad33e179149738d3ec05f2e1193470aaa20dc82f23aa0e736f283bbf52,SHA256,Beacon
19770dfaa3cc637612629e40f4bfc0c91b064090b615824df5ee3ade1e38e15b,SHA256,Beacon
20ee495e476b8ddf1498482a7855511c07c129e23c3465c230fb1fecbe6f5493,SHA256,Beacon
