Indicator,Type,Description
147.135.78.200,IP,Team Server
0f0cf5e9b35012fc51306179ba4c8cfdaa4f60bf293d8140a77a74db548182e5,SHA256,Beacon Shellcode
93008b078e8358c948877c7fde261231fc72bcd45143132070761550046701f2,SHA256,Beacon Shellcode
147.135.78.200/cx,URL,C2 Server URL
147.135.78.200/push,URL,C2 Server URL
23.108.57.39,IP,Team Server
91d6230999853424f158fd58bd343c781fd687c71173ee39ed98429181d3cdb4,SHA256,Beacon Shellcode
8cf43734e0d187aaad93e950646a883820b20ca2837480c1140e1751cf6557b2,SHA256,Beacon Shellcode
fe250fd68fd30cac8ba4dc090362f602,Public Key,SSL Public Key MD5
wideri.com/tab_shop.css,URL,C2 Server URL
wideri.com/language.css,URL,C2 Server URL
wideri.com,Domain,C2 Server Domain
172.82.179.170,IP,Team Server
108.62.141.5,IP,Team Server
74.118.138.139,IP,Team Server
e75e83c4910c6604d95131bb33dc7a9a1126094e3aed5a8ef8e8654750e730fe,SHA256,Beacon Shellcode
9f5cdfc1d136f5e9e55ec81193d7c5e999e470765d590bd0e21222ccd59aa427,SHA256,Beacon Shellcode
f8f21867fcc86fa8802099a058fa9b12,Public Key,SSL Public Key MD5
"touchroof.com/modcp,focuslex.com/modcp",URL,C2 Server URL
touchroof.com,Domain,C2 Server Domain
focuslex.com,Domain,C2 Server Domain
newiro.com/remove,URL,C2 Server URL
newiro.com,Domain,C2 Server Domain
db352e9bb0d6c08928ff6ee5ea69ac17,Public Key,SSL Public Key MD5
108.62.118.232,IP,Team Server
4981a65d882d91dd06dde503f2caa2bc272b191fd0b5b744de68566893155a06,SHA256,Beacon Shellcode
61302522f01f2ba0ba7209d22a4ef59bd5fa5d467e7e0ac829faaf050377ac22,SHA256,Beacon Shellcode
derotin.com,Domain,C2 Server Domain
cloudstomes.com,Domain,C2 Server Domain
pipipub.com,Domain,C2 Server Domain
pipipub.com/admin,URL,C2 Server URL
d7741f13441bbeaedd0f1a036fd71ba7,Public Key,SSL Public Key MD5
23.108.57.15,IP,Team Server
658d8224c4b0c8530915af5e12fc5ebbb2bdc3dce340df050426efe48ebfa986,SHA256,Beacon Shellcode
9845dc48b603bf54bfb4388d56616fdb215eb458d16b89c6b4dffa2e4bd7ac22,SHA256,Beacon Shellcode
hireja.com ,Domain,C2 Server Domain
hireja.com/Content,URL,C2 Server URL
879a07e34428244e33c3a01efc385a0e,Public Key,SSL Public Key MD5
23.106.160.51,IP,Team Server
cce5fdb66104227964626bbfec247609a1a6d1296d48a840e806896edd941865,SHA256,Beacon Shellcode
1c508e545eb34e88ec446591595298b9d16f1fc721bbbf3d763dc1a2cb3f8a26,SHA256,Beacon Shellcode
slicemia.com,Domain,C2 Server Domain
slicemia.com/es.js,URL,C2 Server URL
844c5196e19fd64136fad6e644b25989,Public Key,SSL Public Key MD5
23.81.246.177,IP,Team Server
bc1c501af295b981a6819319cc70a9db7644be66edace84511efbc5a64a7c626,SHA256,Beacon Shellcode
108bc21e66d44838dda4a12ff80aec4c24d82ec798edf27b07522306c3bee6a9,SHA256,Beacon Shellcode
mebonux.com ,URL,C2 Server URL
mebonux.com/modcp.html,Domain,C2 Server Domain
61c4e40106357b8711f17f8cbed844c3,Public Key,SSL Public Key MD5
172.241.27.233,IP,Team Server
12d4d94757fe2aabb560bfd4d751407af29d5185d9211d18ba14ab3e50d18e5e,SHA256,Beacon Shellcode
1963050e1c2613a4373adcf7de34826a94e9726df25b98d1032343a4fcc618ec,SHA256,Beacon Shellcode
tucosu.com/ur.html,URL,C2 Server URL
tucosu.com/Content.html,URL,C2 Server URL
tucosu.com,Domain,C2 Server Domain
5084f8c547ef2411791e3541ee179b98,Public Key,SSL Public Key MD5
173.234.155.98,IP,Team Server
12ddd0e2074c56e3ab029b8797f2291ec096f943eec396e77beb352c79d3a1e1,SHA256,Beacon Shellcode
224e079f91de72a3a24d91512107a6914bcb8d7f93bc1ee2d70891b3f9186d91,SHA256,Beacon Shellcode
wuluxo.com/as.css,URL,C2 Server URL
wuluxo.com,Domain,C2 Server Domain
e7e6341a4aa47c58177995d2276bb908,Public Key,SSL Public Key MD5
108.62.118.185,IP,Team Server
97074677a6aca881487a67d3548317f8ff16e3fd167e908fb50e61fb20e53efc,SHA256,Beacon Shellcode
1856af6ed770e564bfd163b619a8035f6b035c0e5d12085ba0030b43fb505005,SHA256,Beacon Shellcode
