Indicator,Type,Description
162.244.82.77,IP,Team Server 
3920d651aadcbdb23d445cdf9cfe9ce2c53d693e3e11ce5132213274f7544d22,SHA256,Beacon Shellcode
947f447094fd5409591ff36b4154b2bbca136571f863e2ac766413482beb4a34,SHA256,Beacon Shellcode
08def34ec69fdc23b6b6efb62261d9aa1fe2d3167640b6cc45bfcb5afc42b474,SHA256,Beacon
2966bd30b1ded4cd119fdff580d00d3040509fa34c161bbc4b7b7b7a19ae2518,SHA256,Beacon
9b2c45f69fe22d3c48669299aa29a14b,Public Key,SSL Public Key MD5
soft.azureedge.net /jquery-3.3.1.min.js,URL,C2 Server URL
soft.azureedge.net ,Domain,C2 Server Domain
54.248.192.164,IP,Team Server 
0c019f702cf3ee29323fe9ae71a7b19d7a519e68cef6d40eb1a03717e0b66453,SHA256,Beacon Shellcode
fb13d9ee27f4f1d798907401e04358aba016a66da35af762940e0d36f8030d0d,SHA256,Beacon Shellcode
71b3520266f18755b303dee88d0b75b2507fed2cf59fdcc8bb6814577ada75a9,SHA256,Beacon Shellcode
7ef78d573f5eb2f5e7e61859926bf7358bde659e94a3e85179b158a63284b536,SHA256,Beacon Shellcode
36773e0f79877f3f661260949efe46ccc2be619975f2cca91411245dc2f50713,SHA256,Beacon Shellcode
e6ba6ae1f1398c83d9108e692a98376c13cad0c58945fe4b452498d76b7922e5,SHA256,Beacon Shellcode
aa0e4fb99f13e2ea066289d815476b3a155389483cd8e1add3c9338b3843937b,SHA256,Beacon
93998d1da3492dd62085f726a9ab87fc8b88ee9b57747cedf1bde93052ecef17,SHA256,Beacon
189d49ab104970b45386ddb4b75ba6456c22fe492a27c1c6c5d85cca98d79fe8,SHA256,Beacon
a7ed31d195d1a9c30eeaad5672172217b56d44158211dc6d24f1ab646daa3acc,SHA256,Beacon
fb661561d3f18faf041454c3a41fe7b1c176fe2824ebeb3e18e32a8f78750f2b,SHA256,Beacon
4db63c44cd369a2909ac131b038a23207b44ce82e9d47a732d788391d8c64b2a,SHA256,Beacon
37ef5aad66ab0f4d094af7c42ac0ab07,Public Key,SSL Public Key MD5
workhub.microsoft.com/jquery-3.3.1.min.js,URL,C2 Server URL
"workhub.microsoft.com/jquery-3.3.1.min.js,msrc.microsoft.com,/jquery-3.3.1.min.js",URL,C2 Server URL
workhub.microsoft.com,Domain,C2 Server Domain
msrc.microsoft.com,Domain,C2 Server Domain
209.141.53.128,IP,Team Server 
ff08cc3959f315c7993acae201ebab257ee85e1f78d7a66c7f76fd2ad4a1adb9,SHA256,Beacon Shellcode
d84cfa6918d58d35cf644af21a994def20ee327b652a34d76330bdb49c9ee773,SHA256,Beacon Shellcode
2ffe082a3780d4b96fef95b7b244a9367bf9d96e2525a52e5fdfe1e0e69ce2a9,SHA256,Beacon Shellcode
ee1dcff10fa988c5e8d0e92d0dae6fc70c46ebd8bb14e914797a7854fd3b7bc1,SHA256,Beacon Shellcode
8538b411c7f93510e393f1f8ef177ccb4792d48c18569fdb2221635ca125cab5,SHA256,Beacon Shellcode
700cf9c40eec0c62ee1b93d5bf35d15cbb60e2e678c78f4b3d1314bd19e3ad4c,SHA256,Beacon Shellcode
262b84630d4e8b5d45aec7d4246d1505,Public Key,SSL Public Key MD5
209.141.53.128/messages/ZnWRycwlcE3bWS0vBjME5bxKePwzKfIs56LI4qHmX-iGt,URL,C2 Server URL
209.141.53.128/messages/ICIPvZONl1t6pOUQg5NeF0G1bsdUvUNGi2,URL,C2 Server URL
209.141.53.128/pixel.gif,URL,C2 Server URL
zainjordan.azureedge.net/jquery-3.3.1.min.js,URL,C2 Server URL
209.141.53.128/dpixel,URL,C2 Server URL
zainjordan.azureedge.net,Domain,C2 Server Domain
162.244.80.254,IP,Team Server 
2438f06bc80f4abacd0d1873574d99a93bdf9e2300699183dc8ba738cd7eda41,SHA256,Beacon Shellcode
