Indicator,Type,Description
amazzone.gold,Domain,C2 Server domain
cdn3wire.net,Domain,C2 Server domain
deltawrite.com,Domain,C2 Server domain
ec2-3-134-88-15.us-east-2.compute.amazonaws.com,Domain,C2 Server domain
mutreramil.com,Domain,C2 Server domain
zbfgns.xyz,Domain,C2 Server domain
cloud.falconoasisdubai.com,Domain,TeamServer domain
gue.life,Domain,TeamServer domain
104.238.134.63,IP,TeamServer IP
104.243.38.56,IP,TeamServer IP
109.230.199.211,IP,TeamServer IP
109.230.199.56,IP,TeamServer IP
138.99.216.18,IP,TeamServer IP
142.202.205.57,IP,TeamServer IP
149.56.65.124,IP,TeamServer IP
173.232.146.37,IP,TeamServer IP
178.63.149.73,IP,TeamServer IP
178.63.149.76,IP,TeamServer IP
185.153.196.207,IP,TeamServer IP
185.153.196.209,IP,TeamServer IP
185.153.196.212,IP,TeamServer IP
185.153.196.214,IP,TeamServer IP
185.153.196.215,IP,TeamServer IP
185.158.249.123,IP,TeamServer IP
185.162.235.101,IP,TeamServer IP
185.162.235.233,IP,TeamServer IP
185.175.93.4,IP,TeamServer IP
185.202.0.111,IP,TeamServer IP
185.202.2.182,IP,TeamServer IP
185.212.47.17,IP,TeamServer IP
185.219.221.54,IP,TeamServer IP
185.65.246.113,IP,TeamServer IP
185.70.184.82,IP,TeamServer IP
185.70.187.157,IP,TeamServer IP
185.82.126.198,IP,TeamServer IP
192.145.125.42,IP,TeamServer IP
192.169.6.180,IP,TeamServer IP
192.169.6.42,IP,TeamServer IP
192.71.227.76,IP,TeamServer IP
192.99.240.89,IP,TeamServer IP
193.32.161.135,IP,TeamServer IP
193.34.166.213,IP,TeamServer IP
194.76.224.211,IP,TeamServer IP
194.76.227.21,IP,TeamServer IP
195.54.167.89,IP,TeamServer IP
209.126.119.186,IP,TeamServer IP
217.12.202.115,IP,TeamServer IP
217.12.218.199,IP,TeamServer IP
217.12.218.250,IP,TeamServer IP
217.12.218.46,IP,TeamServer IP
31.44.184.47,IP,TeamServer IP
31.44.184.48,IP,TeamServer IP
31.44.184.50,IP,TeamServer IP
31.44.184.51,IP,TeamServer IP
31.44.184.53,IP,TeamServer IP
31.44.184.55,IP,TeamServer IP
37.10.71.152,IP,TeamServer IP
45.11.180.250,IP,TeamServer IP
45.147.229.199,IP,TeamServer IP
5.39.216.203,IP,TeamServer IP
80.78.22.102,IP,TeamServer IP
83.242.96.163,IP,TeamServer IP
83.242.96.164,IP,TeamServer IP
88.119.179.185,IP,TeamServer IP
89.38.225.226,IP,TeamServer IP
92.42.14.133,IP,TeamServer IP
94.140.115.131,IP,TeamServer IP
94.232.43.11,IP,TeamServer IP
94.232.43.120,IP,TeamServer IP
8ac540617dddcdf575f6dc207abb7344,Public Key,SSL Public Key MD5
006223312d230fb317e4d69ea79c41a6083067c27108538fd3ef066e92538f27,SHA256,Beacon
0343fcbdc5e1581dbeec5a963f171a8b16b047dfdd7ea0f6122120250b0f068d,SHA256,Beacon
046fee3a483d71377b1b66b2ce768b02553712ed532514ebd4e46c2d80e7d559,SHA256,Beacon
0611ecea127c31026ff3e5ddb4dd74cf55ee39c17ac9abe7fdd0e9318bb874db,SHA256,Beacon
0627db188507322fe138662b7846319c676d07aece5efaf8c3495cb043cbde5e,SHA256,Beacon
06fc1e11a8c910b573e8019f7d9fecc8f3ca016fdafecf110d8f8876a526bf5f,SHA256,Beacon
06fe39c8fa45168c9ea16c2086704a47810da4e7324bb11f814f6bdbf9c88b8f,SHA256,Beacon
070db2e672ecca043741b95db8081be730d0ec331c100eefb052f90d69bbf324,SHA256,Beacon
08fe8cfe3431d90d3afe21bd01e39b500d774e6e4e96e8cde4e9a7b3108c30a8,SHA256,Beacon
0afa021b5282b28c7f5963b449ad6b967e7b46dac089eac60040a9dba8784605,SHA256,Beacon
0b25ad5e03bb54a951dc06d32ce3bb79582de600e1831e13f4412b344c3c70a0,SHA256,Beacon
0b316438b2c2909b674efc8d368c6d4894f8e4d850a1d9a32f1fea7162fb7ba7,SHA256,Beacon
0b4adcfc1601791dd77e915e0a344300aa416c92dbdb957eb481484b0c9d27e2,SHA256,Beacon
0ba7d0db2359b84b0338e56a650ac88d619c64102b00f299089a3c386014f7ca,SHA256,Beacon
0c4c83e1d9d7cc310604574a56c73662cf47c33080daee8f9fc489dfed92d172,SHA256,Beacon
0cab1cc57739eb0d9a72773b6930fbe56ec470b8d1e1e687492c3c057cfddb77,SHA256,Beacon
0db511d85514b2f0679bfb4323ee8dbd2ccfed95c1ff2551023d908abaed036c,SHA256,Beacon
0e2003fc2aef453fdf7f3d66df275e7a4a53d483db74e8083ac897a767c97515,SHA256,Beacon
0f37b13d941075d74bbff1441c9f02d744b169cd48c6ffc9ed80f22e5ce19a21,SHA256,Beacon
0f613ba3f4ea1b557ce129b3ad9706310271822a673844289f7b2ff15827133a,SHA256,Beacon
0f80ddc4dc6e5dfff6e22972aa9545ac914934423e34364364aa9670c4596496,SHA256,Beacon
0f8d8a53080e83179533ff873601da0481d0a03f2816f242fcb61d9f7ab9a2a0,SHA256,Beacon
103acdb1efd8a8793139f8ce9f72098995d9a6157a7bedf870565fc4f93e68c0,SHA256,Beacon
1055424993f8c2e96c0635332dde4e845b4c507f5c35d72cb6d9c038a155c19d,SHA256,Beacon
109668855c561720e264c24d5a3d7ad40bf2099fdcc82855169ec522cafe60cc,SHA256,Beacon
1145cae214267562b687b8bf1e3427f485eff7d9153b80c9d5b832bdfced4672,SHA256,Beacon
128fc29d59fe5eeb7add5555bdc5572001824ff9dfdc700bb995f8629215eccf,SHA256,Beacon
131413e9d88f2ce29f6c1de374a425c2a0db310865ac406a8bda80f36780521a,SHA256,Beacon
14041454d03bd12702b566d86ffde4ccf5d67a0754ab05e03b2f660ea7a9bc4d,SHA256,Beacon
141d4004f548106e8d1ee6fe42ffa560996de9ab9d3af03b7eb6dc56f2bff147,SHA256,Beacon
14c380fed91e6f1bc2adb6b07d6983da7d2fa0c0aae5b15064a155121649840c,SHA256,Beacon
15334dc907b29bd6f791a1ec11978fedd700580817ae90a0448e4039faf7e745,SHA256,Beacon
154c10c8bc97dcbf65178e0d87bf618a9fdfdd6d4872d84dc4d61412b1ddb4ab,SHA256,Beacon
157d2ab79a14e6b45cf4c699683f574e5ed0b3082b1ea9bba51eb0f973f22193,SHA256,Beacon
1687befbf6b6a0a338ebe3029594474f910364901978be272d57783ddf344517,SHA256,Beacon
17da13c8ed42816dd92773e0089ecee5571c7dc604cb5394d06a8e9b47675412,SHA256,Beacon
18c04a82850498367978be8f099bb9124c860460c435949bfd34b6f1f020db29,SHA256,Beacon
1a0a248dbca09125ce97594f417de687b7522446afa2a7e79c3de7797c1ffabc,SHA256,Beacon
1aeb0831b69c5b3986f962968189c1f85fbe9c57019105a5ef6cf1027467b1bd,SHA256,Beacon
1b1a10df0f77e0dd5d030ba89fbcfc79ba7f0e8e55041fe101123b56f9aa7854,SHA256,Beacon
1b2348719afdd49696b1c4726ab4a45594557664807f1ab7dee6e2bb65fd0502,SHA256,Beacon
1c8ab47f86a2d1927ff9edf107ee71b7dae2cdf9a33d49454defbf8f11a46808,SHA256,Beacon
1d4abd9b51dcfdf777159dc1f1eb28adbb522ca12e3ecb3ef03d55b82f2ee407,SHA256,Beacon
1de95b67a46c79bb41a58b51d8f5dc97fe6b8f0ed6277ba4d30acf6c65544a07,SHA256,Beacon
1f11397075f5f955f127602c638e22a88b0d5ce96442dd277d353974b2f69cde,SHA256,Beacon
1f21b352b1c7b362d3a08fbba94e37e69f357f5a6c1dd1e2560ac09d49766407,SHA256,Beacon
1f3e7ae2b1d7773f2d28ef6097ff2bbb0745bd5fbc490f4607cf163aa7feadc0,SHA256,Beacon
20c57a938b8e577b1dd1a06aeb1f331474ef494a96750180a6eb7df7fc9562dd,SHA256,Beacon
23a763e2ce0d84f0dfe554a47b20b4fc13a82e57abac8cfa01eee0388eb0fd26,SHA256,Beacon
244799d104876ea4d0073fb27b4736ffeae9c2b5006f327138af7ba7fd0dfb3a,SHA256,Beacon
24665d3ef245b2ebb1a0dd0d27464cb6044f31082071f87fb33e533674be45f7,SHA256,Beacon
2501bc12951159a0cc338fa5d372851d7283e07164ec46dde3b9a4a0aea50171,SHA256,Beacon
2540bf146b6127cd8a8a56645456c1d4d04b5f6fd9d25907bfe427660ee57cb0,SHA256,Beacon
25478cd91be2e1cc24e5e57bd60a15a6780b940369a4b978fa1a4cea4bdbb63e,SHA256,Beacon
256a88bc3964a47852f443074f8c76547d1408b01cc1b34151c457bc53bcd4c4,SHA256,Beacon
259bec7736f50ef0c454510d9a07cde3e595b84f1444e6bd73937693c054cf88,SHA256,Beacon
