Indicator,Type,Description
coincidencious.com/_/scs/mail-static/_/js/,URL,C2 Server URL
coincidencious.com,Domain,C2 Server Domain
185.206.145.227,IP,Team Server 
c01c4f1b10e7d0923c3b72b76e3000af5bbb20af60ff8e898c8f58f080b5f44e,SHA256,Beacon Shellcode
cc734e2172f38bb8cde1ca6283aef1fa7fa62484c49afb6890e4b17b2395be89,SHA256,Beacon Shellcode
ac582c94de6a3e68a0e26bd251dc9f5c13dd3047cdf4231de3056159e92a89bc,SHA256,Beacon
8d4cfbe8c50aa4b890a1041c7be4891eef4b584bd1e67f7c1c8c6978c4dade65,SHA256,Beacon
92.63.105.58,IP,Team Server 
feca56a134f6e44b05fb491efe63eda0c5ac17d466db34bbfad07d691b0e9843,SHA256,Beacon Shellcode
5cabec8c84ed82c4ce53dcaed22abb76548a5e47748d0965381eeaec0efbe12f,SHA256,Beacon Shellcode
69d4ca4e538af1c7a79621618bf73f10bd22d104710cdfa7b1ea0944928a6682,SHA256,Beacon
7a9ef42277802b535c5c82b7f74cbb18da8ed65ef78ae7996535f3d96b78ff28,SHA256,Beacon
wisecrackism.com/_/scs/mail-static/_/js/,URL,C2 Server URL
wisecrackism.com,Domain,C2 Server Domain
associationable.com,Domain,C2 Server Domain
89.163.214.57,IP,Team Server 
aaee5fe21730c81e8966373934998bfb841cf21f35a7d1b3ac1ac86d8c2a92fa,SHA256,Beacon Shellcode
ef9423ab7fb48edc71419a51dfbb0b356c22abd1bf4fe88fb59191d13dfb6e2d,SHA256,Beacon Shellcode
f33699efa167c1087b140f9450be5efbc6b20d0d69eaef158f21cdffe43ac17a,SHA256,Beacon
2671e82957553012ee0f4f029bbd49589c2739bc98e72bb8cf2d6c444d703df9,SHA256,Beacon
89.163.214.57/_/scs/mail-static/_/js/,URL,C2 Server URL
188.120.248.114,IP,Team Server 
6aba36887d31e39725d9db868d1864d854141df56bf700f57bc6f1c565c3d62b,SHA256,Beacon Shellcode
203c9c4e48e24fee9e12c57da7f12d21ef71bbd8e00e968d784843acb3604cbc,SHA256,Beacon Shellcode
e3f16981abd1a3818fa263eb0ae5d02ae498a716bcc6d58e74f8e5ee615f1c13,SHA256,Beacon
826d70d93c8d7aaaf4b8f28cf66f964eadb7b969702486ddc412a2613e8efe29,SHA256,Beacon
a48bbb07cf1efe99052b8a2e05ffd971,Public Key,SSL Public Key MD5
188.120.248.114/_/scs/mail-static/_/js/,URL,C2 Server URL
213.202.211.246,IP,Team Server 
61636eeea006392e9849da1bd704c6eec5cc7a3e3b3d4526721d387bc2da6025,SHA256,Beacon Shellcode
bb766ead95146184207682a768daf406ecac58b57f291cd6b57ec132705af106,SHA256,Beacon Shellcode
e4a1ade1011ca5ff7d3eecfaea7277159edf4dcb98b28275c226c35177eac394,SHA256,Beacon Shellcode
dd047e6cb5d665b7983b7a7d3e44eb20aeec6ea37ed643e5d44715d5b605792a,SHA256,Beacon Shellcode
9cf922f7e1045d59be34d7e73a2de391737fa4cd4259fee889a805ca8cc1cd15,SHA256,Beacon Shellcode
c4eb89f6b9caee5d3df0112cafc652103a25006f5debe7d646876395ec2f3226,SHA256,Beacon Shellcode
9ef24fb8676a1b42dacd673ed9def9559221915f0fef148e64e21babcb7b7369,SHA256,Beacon Shellcode
a26a02746064795db21f7fc0c56363f983dbc26eba007340d05a76bbb939ffa9,SHA256,Beacon Shellcode
a5be3de4ff89884e9776a5f051e17f8cb8c4d4b487657cc07dfe3211248ffa9f,SHA256,Beacon
15f8539963f421dce08a6683658f9464c269f9f8de2b64ee4d4fe10a948f2c86,SHA256,Beacon
