Indicator,Type,Description,,
173.199.115.116 ,IP,Hancitor C2,,
173.234.25.78 ,IP,Hancitor C2,,
31.44.184.47 ,IP,Hancitor C2 (also used by Dopplepaymer),,
103.208.32.169,IP,TeamServer IP,,
103.233.11.242,IP,TeamServer IP,,
103.233.11.243,IP,TeamServer IP,,
103.233.11.245,IP,TeamServer IP,,
103.233.11.246,IP,TeamServer IP,,
103.55.128.114,IP,TeamServer IP,,
103.55.128.115,IP,TeamServer IP,,
103.55.128.116,IP,TeamServer IP,,
103.55.128.117,IP,TeamServer IP,,
103.55.128.118,IP,TeamServer IP,,
104.233.191.65,IP,TeamServer IP,,
104.233.236.124,IP,TeamServer IP,,
104.233.236.125,IP,TeamServer IP,,
154.216.68.32,IP,TeamServer IP,,
154.216.68.33,IP,TeamServer IP,,
154.216.68.34,IP,TeamServer IP,,
154.216.68.35,IP,TeamServer IP,,
154.216.68.36,IP,TeamServer IP,,
154.216.68.37,IP,TeamServer IP,,
154.216.68.38,IP,TeamServer IP,,
154.216.68.39,IP,TeamServer IP,,
154.216.68.40,IP,TeamServer IP,,
154.216.68.41,IP,TeamServer IP,,
154.216.68.42,IP,TeamServer IP,,
154.216.68.43,IP,TeamServer IP,,
154.216.68.44,IP,TeamServer IP,,
154.216.68.45,IP,TeamServer IP,,
154.216.68.46,IP,TeamServer IP,,
154.216.68.47,IP,TeamServer IP,,
154.216.68.48,IP,TeamServer IP,,
154.216.68.49,IP,TeamServer IP,,
154.216.68.50,IP,TeamServer IP,,
154.216.68.51,IP,TeamServer IP,,
154.216.68.52,IP,TeamServer IP,,
154.216.68.53,IP,TeamServer IP,,
154.216.68.54,IP,TeamServer IP,,
154.216.68.55,IP,TeamServer IP,,
154.216.68.56,IP,TeamServer IP,,
154.216.68.57,IP,TeamServer IP,,
154.216.68.58,IP,TeamServer IP,,
154.216.68.59,IP,TeamServer IP,,
154.216.68.60,IP,TeamServer IP,,
154.216.68.61,IP,TeamServer IP,,
154.216.68.62,IP,TeamServer IP,,
154.216.69.32,IP,TeamServer IP,,
154.216.69.33,IP,TeamServer IP,,
154.216.69.34,IP,TeamServer IP,,
154.216.69.35,IP,TeamServer IP,,
154.216.69.36,IP,TeamServer IP,,
154.216.69.37,IP,TeamServer IP,,
154.216.69.38,IP,TeamServer IP,,
154.216.69.39,IP,TeamServer IP,,
154.216.69.40,IP,TeamServer IP,,
154.216.69.41,IP,TeamServer IP,,
154.216.69.42,IP,TeamServer IP,,
154.216.69.43,IP,TeamServer IP,,
154.216.69.44,IP,TeamServer IP,,
154.216.69.45,IP,TeamServer IP,,
154.216.69.46,IP,TeamServer IP,,
154.216.69.47,IP,TeamServer IP,,
154.216.69.48,IP,TeamServer IP,,
154.216.69.49,IP,TeamServer IP,,
154.216.69.50,IP,TeamServer IP,,
154.216.69.51,IP,TeamServer IP,,
154.216.69.52,IP,TeamServer IP,,
154.216.69.53,IP,TeamServer IP,,
154.216.69.54,IP,TeamServer IP,,
154.216.69.55,IP,TeamServer IP,,
154.216.69.56,IP,TeamServer IP,,
154.216.69.57,IP,TeamServer IP,,
154.216.69.58,IP,TeamServer IP,,
154.216.69.59,IP,TeamServer IP,,
154.216.69.60,IP,TeamServer IP,,
154.216.69.61,IP,TeamServer IP,,
154.216.69.62,IP,TeamServer IP,,
154.216.78.100,IP,TeamServer IP,,
154.216.78.101,IP,TeamServer IP,,
154.216.78.102,IP,TeamServer IP,,
154.216.78.103,IP,TeamServer IP,,
154.216.78.104,IP,TeamServer IP,,
154.216.78.105,IP,TeamServer IP,,
154.216.78.106,IP,TeamServer IP,,
154.216.78.107,IP,TeamServer IP,,
154.216.78.108,IP,TeamServer IP,,
154.216.78.109,IP,TeamServer IP,,
154.216.78.110,IP,TeamServer IP,,
154.216.78.111,IP,TeamServer IP,,
154.216.78.112,IP,TeamServer IP,,
154.216.78.113,IP,TeamServer IP,,
154.216.78.114,IP,TeamServer IP,,
154.216.78.115,IP,TeamServer IP,,
154.216.78.116,IP,TeamServer IP,,
154.216.78.117,IP,TeamServer IP,,
154.216.78.118,IP,TeamServer IP,,
154.216.78.119,IP,TeamServer IP,,
154.216.78.120,IP,TeamServer IP,,
154.216.78.121,IP,TeamServer IP,,
154.216.78.122,IP,TeamServer IP,,
154.216.78.123,IP,TeamServer IP,,
154.216.78.124,IP,TeamServer IP,,
154.216.78.125,IP,TeamServer IP,,
154.216.78.126,IP,TeamServer IP,,
154.216.78.96,IP,TeamServer IP,,
154.216.78.97,IP,TeamServer IP,,
154.216.78.98,IP,TeamServer IP,,
154.216.78.99,IP,TeamServer IP,,
154.216.82.0,IP,TeamServer IP,,
154.216.82.1,IP,TeamServer IP,,
154.216.82.10,IP,TeamServer IP,,
154.216.82.11,IP,TeamServer IP,,
154.216.82.12,IP,TeamServer IP,,
154.216.82.13,IP,TeamServer IP,,
154.216.82.14,IP,TeamServer IP,,
154.216.82.15,IP,TeamServer IP,,
154.216.82.16,IP,TeamServer IP,,
154.216.82.17,IP,TeamServer IP,,
154.216.82.18,IP,TeamServer IP,,
154.216.82.19,IP,TeamServer IP,,
154.216.82.2,IP,TeamServer IP,,
154.216.82.20,IP,TeamServer IP,,
154.216.82.21,IP,TeamServer IP,,
154.216.82.22,IP,TeamServer IP,,
154.216.82.23,IP,TeamServer IP,,
154.216.82.24,IP,TeamServer IP,,
154.216.82.25,IP,TeamServer IP,,
154.216.82.26,IP,TeamServer IP,,
154.216.82.27,IP,TeamServer IP,,
154.216.82.28,IP,TeamServer IP,,
154.216.82.29,IP,TeamServer IP,,
154.216.82.3,IP,TeamServer IP,,
154.216.82.30,IP,TeamServer IP,,
154.216.82.4,IP,TeamServer IP,,
154.216.82.5,IP,TeamServer IP,,
154.216.82.6,IP,TeamServer IP,,
154.216.82.7,IP,TeamServer IP,,
154.216.82.8,IP,TeamServer IP,,
154.216.82.9,IP,TeamServer IP,,
154.216.84.192,IP,TeamServer IP,,
154.216.84.193,IP,TeamServer IP,,
154.216.84.194,IP,TeamServer IP,,
154.216.84.195,IP,TeamServer IP,,
154.216.84.196,IP,TeamServer IP,,
154.216.84.197,IP,TeamServer IP,,
154.216.84.198,IP,TeamServer IP,,
154.216.84.199,IP,TeamServer IP,,
154.216.84.200,IP,TeamServer IP,,
154.216.84.201,IP,TeamServer IP,,
154.216.84.202,IP,TeamServer IP,,
154.216.84.203,IP,TeamServer IP,,
154.216.84.204,IP,TeamServer IP,,
154.216.84.205,IP,TeamServer IP,,
154.216.84.206,IP,TeamServer IP,,
154.216.84.207,IP,TeamServer IP,,
154.216.84.208,IP,TeamServer IP,,
154.216.84.209,IP,TeamServer IP,,
154.216.84.210,IP,TeamServer IP,,
154.216.84.211,IP,TeamServer IP,,
154.216.84.212,IP,TeamServer IP,,
154.216.84.213,IP,TeamServer IP,,
154.216.84.214,IP,TeamServer IP,,
154.216.84.215,IP,TeamServer IP,,
154.216.84.216,IP,TeamServer IP,,
154.216.84.217,IP,TeamServer IP,,
154.216.84.218,IP,TeamServer IP,,
154.216.84.219,IP,TeamServer IP,,
154.216.84.220,IP,TeamServer IP,,
154.216.84.221,IP,TeamServer IP,,
154.216.84.222,IP,TeamServer IP,,
154.216.85.192,IP,TeamServer IP,,
154.216.85.193,IP,TeamServer IP,,
154.216.85.194,IP,TeamServer IP,,
154.216.85.196,IP,TeamServer IP,,
154.216.85.197,IP,TeamServer IP,,
154.216.85.198,IP,TeamServer IP,,
154.216.85.200,IP,TeamServer IP,,
154.216.85.201,IP,TeamServer IP,,
154.216.85.202,IP,TeamServer IP,,
154.216.85.203,IP,TeamServer IP,,
154.216.85.204,IP,TeamServer IP,,
154.216.85.206,IP,TeamServer IP,,
154.216.85.208,IP,TeamServer IP,,
154.216.85.209,IP,TeamServer IP,,
154.216.85.210,IP,TeamServer IP,,
154.216.85.211,IP,TeamServer IP,,
154.216.85.212,IP,TeamServer IP,,
154.216.85.213,IP,TeamServer IP,,
154.216.85.214,IP,TeamServer IP,,
154.216.85.215,IP,TeamServer IP,,
154.216.85.216,IP,TeamServer IP,,
154.216.85.217,IP,TeamServer IP,,
154.216.85.218,IP,TeamServer IP,,
154.216.85.219,IP,TeamServer IP,,
154.216.85.220,IP,TeamServer IP,,
154.216.85.221,IP,TeamServer IP,,
154.216.85.222,IP,TeamServer IP,,
160.124.162.128,IP,TeamServer IP,,
160.124.162.129,IP,TeamServer IP,,
160.124.162.130,IP,TeamServer IP,,
160.124.162.131,IP,TeamServer IP,,
160.124.162.132,IP,TeamServer IP,,
160.124.162.133,IP,TeamServer IP,,
160.124.162.134,IP,TeamServer IP,,
160.124.162.135,IP,TeamServer IP,,
160.124.162.136,IP,TeamServer IP,,
160.124.162.137,IP,TeamServer IP,,
160.124.162.138,IP,TeamServer IP,,
160.124.162.139,IP,TeamServer IP,,
160.124.162.140,IP,TeamServer IP,,
160.124.162.141,IP,TeamServer IP,,
160.124.162.142,IP,TeamServer IP,,
160.124.162.143,IP,TeamServer IP,,
160.124.162.144,IP,TeamServer IP,,
160.124.162.145,IP,TeamServer IP,,
160.124.162.146,IP,TeamServer IP,,
160.124.162.147,IP,TeamServer IP,,
160.124.162.148,IP,TeamServer IP,,
160.124.162.149,IP,TeamServer IP,,
160.124.162.150,IP,TeamServer IP,,
160.124.162.151,IP,TeamServer IP,,
160.124.162.152,IP,TeamServer IP,,
160.124.162.153,IP,TeamServer IP,,
160.124.162.154,IP,TeamServer IP,,
160.124.162.155,IP,TeamServer IP,,
160.124.162.156,IP,TeamServer IP,,
