Indicator,Type,Description
D7 67 A6 EE 5C 9A 12 B9 41 F3 B0 73 11 4A 7B 5C,Code-Signing Certificate,"Name
NEJCHFGNUATBMYBQWL
Status
The certificate or certificate chain is based on an untrusted root.
Issuer
NEJCHFGNUATBMYBQWL
Valid From
08:08 AM 06/24/2021
Valid To
11:59 PM 12/31/2039
Valid Usage
Code Signing
Algorithm
sha1RSA
Thumbprint
E27E0B89AC29AE6AB22CD09350A116489F50D150
Serial Number
D7 67 A6 EE 5C 9A 12 B9 41 F3 B0 73 11 4A 7B 5C"
B5 63 CA 9F F0 BA 81 B9 43 A6 30 02 3D 3F 70 2B,Code-Signing Certificate,"Name
EUJIOADBLAUSIUBWPJ
Status
The certificate or certificate chain is based on an untrusted root.
Issuer
EUJIOADBLAUSIUBWPJ
Valid From
02:00 PM 04/23/2021
Valid To
11:59 PM 12/31/2039
Valid Usage
Code Signing
Algorithm
sha1RSA
Thumbprint
A37142BCD8CC00CA93C892A89F40B6A59C79CD4E
Serial Number
B5 63 CA 9F F0 BA 81 B9 43 A6 30 02 3D 3F 70 2B"
FA AB 66 85 53 1D EB 90 44 1A 99 6C B0 CB 0E CF,Code-Signing Certificate,"Name
MZJVESLENZVLRPQFZD
Status
The certificate or certificate chain is based on an untrusted root.
Issuer
MZJVESLENZVLRPQFZD
Valid From
08:06 AM 07/01/2021
Valid To
11:59 PM 12/31/2039
Valid Usage
Code Signing
Algorithm
sha1RSA
Thumbprint
9541269C40E6DCC543DF160FABA75E734B3A9C45
Serial Number
FA AB 66 85 53 1D EB 90 44 1A 99 6C B0 CB 0E CF"
CD 63 56 80 11 6C AF B6 4C 4D 01 43 37 97 03 14,Code-Signing Certificate,"Name
FNXAUGHC
Status
The certificate or certificate chain is based on an untrusted root.
Issuer
FNXAUGHC
Valid From
09:50 PM 03/28/2019
Valid To
12:59 AM 01/01/2040
Valid Usage
Code Signing
Algorithm
sha1RSA
Thumbprint
72DAAB63BD86F8D1C314A6C1ECAA299CB6CFF383
Serial Number
CD 63 56 80 11 6C AF B6 4C 4D 01 43 37 97 03 14"
FA 5B 50 59 7B 1F BD 8C 48 FA B1 3E 14 79 6F 03,Code-Signing Certificate,"Name
CLKAAZGWRPOICHXFMQ
Status
The certificate or certificate chain is based on an untrusted root.
Issuer
CLKAAZGWRPOICHXFMQ
Valid From
09:12 AM 06/20/2021
Valid To
11:59 PM 12/31/2039
Valid Usage
Code Signing
Algorithm
sha1RSA
Thumbprint
6FA6304359B144DCBC06715E6064FF22F695CDF4
Serial Number
FA 5B 50 59 7B 1F BD 8C 48 FA B1 3E 14 79 6F 03"
rundll32.exe C:\ProgramData\qSourcePivotTable.dll;SetRealTimeUsage,Command-line,Beacon; Dridex
mshta C:\ProgramData\klStockVOHLC.sct,Command-line,
ns1.easylongbigduck.com,Domain,Team Server; Default profile
taskremindment.com,Domain,Dridex Hosting; Maldocs
payreminament.com,Domain,Dridex Hosting; Maldocs
waunake.com,Domain,Dridex Hosting; Maldocs
properlysolutionsco.com,Domain,Dridex Hosting; Maldocs
balmoraldevelopment.ca,Domain,Qakbot; Phishing
dothome.co.kr,Domain,Qakbot; Phishing
nightingale.com,Domain,Qakbot; Phishing
selfcareadvocacy.com,Domain,Qakbot; Phishing
volna.top,Domain,Qakbot; Phishing
alert.notify-epay.com,Domain,31.42.177.51
immidiateupdatesolutions.one,Domain,Dridex hosting; 128.199.243.169
dataexpress.wris.co,Domain,Dridex hosting
documents365updates.com,Domain,Dridex hosting
azurefilesupdates.com,Domain,Dridex hosting
azure365documents.com,Domain,Dridex hosting
mydocumentscloud.xyz,Domain,Dridex hosting
docusignupdates.com,Domain,Dridex hosting
fastdocusign.org,Domain,Dridex hosting
fastdocusign.one,Domain,Dridex hosting
azuredocs.org,Domain,Dridex hosting
documentupdates.com,Domain,Dridex hosting
mydocumentscloud.com,Domain,Dridex hosting
alwaysupdatedsoft.com,Domain,Dridex hosting
azure365documents.com,Domain,Dridex hosting
azuredocs.org,Domain,Dridex hosting
azurefilesupdates.com,Domain,Dridex hosting
baxtermd.com,Domain,Dridex hosting
chiorea.nu,Domain,Dridex hosting
dataexpress.wris.co,Domain,Dridex hosting
det.blue,Domain,Dridex hosting
documents365updates.com,Domain,Dridex hosting
documentupdates.com,Domain,Dridex hosting
docusignupdates.com,Domain,Dridex hosting
emergentonlinesolutions.com,Domain,Dridex hosting
fastdocusign.one,Domain,Dridex hosting
fastdocusign.org,Domain,Dridex hosting
fastfreeupdates.com,Domain,Dridex hosting
ignignokt.mudkips.net,Domain,Dridex hosting
immidiateupdates.com,Domain,Dridex hosting
immidiateupdatesolutions.com,Domain,Dridex hosting
immidiateupdatesolutions.one,Domain,Dridex hosting
insiderushings.com,Domain,Dridex hosting
mudkip.mudkips.net,Domain,Dridex hosting
mydocumentscloud.com,Domain,Dridex hosting
mydocumentscloud.xyz,Domain,Dridex hosting
ns1.darkhaven.net,Domain,Dridex hosting
ns1.mudkips.net,Domain,Dridex hosting
onlinefastsolutions.com,Domain,Dridex hosting
pack1589.com,Domain,Dridex hosting
phonegod.net,Domain,Dridex hosting
simpleeasytest.com,Domain,Dridex hosting
status.telcodata.us,Domain,Dridex hosting
timmins.net,Domain,Dridex hosting
troop1589.com,Domain,Dridex hosting
wris.co,Domain,Dridex hosting
www.timmins.net,Domain,Dridex hosting
evo.im,Domain,Dridex C2
ddaproduction.com,Domain,Dridex C2
mustbesoldbyauction.com,Domain,Dridex  C2
li267-66.members.linode.com,Domain,Dridex C2
assa-net.ml,Domain,104.144.74.58
ministeriohacienda-cr-go.cf,Domain,104.144.74.58
assa.cf,Domain,104.144.74.58
assanet.ga,Domain,104.144.74.58
enacorredores.tk,Domain,104.144.74.58
assa-pa.ml,Domain,104.144.74.58
enacorredores.gq,Domain,104.144.74.58
assa-net.tk,Domain,104.144.74.58
enacorredores.cf,Domain,104.144.74.58
mediatrendspublishing.com,Domain,145.249.107.35
masterpiecesoftheearth.com,Domain,145.249.107.35
huminz.com,Domain,145.249.107.35
life-energy.net,Domain,145.249.107.35
laurensemivan.com,Domain,145.249.107.35
miriamdyak.com,Domain,145.249.107.35
raffle-elrond.com,Domain,160.20.147.250
claim-mex.com,Domain,160.20.147.250
egld-raffle.com,Domain,160.20.147.250
1u.ms,Domain,23.227.202.174; 23.227.203.229
hvvc.us,Domain,23.227.202.174; 23.227.203.228; 23.227.203.229
uspsorderstatus.com,Domain,23.254.211.213; 23.254.215.238; 31.42.177.52
hostwindsdns.com,Domain,23.254.247.55
amazonupdate.cloud,Domain,23.254.247.55
bonesdir.com,Domain,31.14.41.212
notify-epay.com,Domain,31.42.177.51
ecosatplay.com,Domain,5.181.158.4
top-backup.com,Domain,5.2.70.173
insideappple.com,Domain,5.39.222.102
parcels-notify.com,Domain,5.39.222.84
warehouse48.com,Domain,5.39.222.84
jnahetverylongduck.us,Domain,5.39.222.87
dogcowbat.com,Domain,80.82.67.127
documentupdates.com,Domain,208.83.69.35
1001frens.com,Domain,Maldoc associated domain
10xforkidz.com,Domain,Maldoc associated domain
135open.co,Domain,Maldoc associated domain
1mile.cc,Domain,Maldoc associated domain
202x.co,Domain,Maldoc associated domain
2043.xyz,Domain,Maldoc associated domain
35599703.club,Domain,Maldoc associated domain
46mccurdy.com,Domain,Maldoc associated domain
4rlagoon.com,Domain,Maldoc associated domain
4students.news,Domain,Maldoc associated domain
53sykylcfsysk3fzvz5n59hckph.one,Domain,Maldoc associated domain
55c3tvrjmk9ey3poek07373.com,Domain,Maldoc associated domain
5dvt.co,Domain,Maldoc associated domain
606pvw.com,Domain,Maldoc associated domain
61sixthmedia.com,Domain,Maldoc associated domain
67danilack.com,Domain,Maldoc associated domain
6a8.ca,Domain,Maldoc associated domain
74953703.club,Domain,Maldoc associated domain
8282721.space,Domain,Maldoc associated domain
aafx.cc,Domain,Maldoc associated domain
aarongoodrich.com,Domain,Maldoc associated domain
abcwinbloomington.com,Domain,Maldoc associated domain
acesangelsporn.vip,Domain,Maldoc associated domain
activationslink.net,Domain,Maldoc associated domain
adhamking57.xyz,Domain,Maldoc associated domain
adlumin.co,Domain,Maldoc associated domain
ads.coffee,Domain,Maldoc associated domain
advidcommunications.art,Domain,Maldoc associated domain
affordablechicagoproperties.com,Domain,Maldoc associated domain
afis.ch,Domain,Maldoc associated domain
aforealtors.com,Domain,Maldoc associated domain
africanblockchainassociation.com,Domain,Maldoc associated domain
aiachy.com,Domain,Maldoc associated domain
ajeema.co,Domain,Maldoc associated domain
alexanderrhodes.co,Domain,Maldoc associated domain
alexaprice.co,Domain,Maldoc associated domain
alexkershawcakes.co,Domain,Maldoc associated domain
alexw.cc,Domain,Maldoc associated domain
alfayahpark.org,Domain,Maldoc associated domain
aliensvzombies.xyz,Domain,Maldoc associated domain
allreadytogo.com,Domain,Maldoc associated domain
alpacaboo.com,Domain,Maldoc associated domain
alquivendo.co,Domain,Maldoc associated domain
altruclothing.co,Domain,Maldoc associated domain
alwaysupdatedsoft.com,Domain,Maldoc associated domain
americanairlinesairporttransportation.com,Domain,Maldoc associated domain
amuchbetterclub.com,Domain,Maldoc associated domain
angiema.ai,Domain,Maldoc associated domain
angrymonkey.co,Domain,Maldoc associated domain
animationtoon.com,Domain,Maldoc associated domain
animehottea.com,Domain,Maldoc associated domain
animesex.cc,Domain,Maldoc associated domain
any-app.co,Domain,Maldoc associated domain
apestogetherstrong.pro,Domain,Maldoc associated domain
approvalsignit.xyz,Domain,Maldoc associated domain
appswing.co,Domain,Maldoc associated domain
apwrld.net,Domain,Maldoc associated domain
aqfiles.com,Domain,Maldoc associated domain
arganbymain.com,Domain,Maldoc associated domain
arisahosokawa.com,Domain,Maldoc associated domain
arnoldrender.de,Domain,Maldoc associated domain
asipaints.com,Domain,Maldoc associated domain
askjasondra.com,Domain,Maldoc associated domain
assett.ai,Domain,Maldoc associated domain
assistedliving.ai,Domain,Maldoc associated domain
atgskateboards.com,Domain,Maldoc associated domain
aufteam.com,Domain,Maldoc associated domain
aumail.ca,Domain,Maldoc associated domain
avcasino.xyz,Domain,Maldoc associated domain
aviatorsdesign.co,Domain,Maldoc associated domain
avse035.club,Domain,Maldoc associated domain
ayaan.ca,Domain,Maldoc associated domain
azarayahcali.com,Domain,Maldoc associated domain
azino777-onlinecazino.net,Domain,Maldoc associated domain
azkadenaadam55.xyz,Domain,Maldoc associated domain
azure365documents.com,Domain,Maldoc associated domain
azuredocs.org,Domain,Maldoc associated domain
azurefilesupdates.com,Domain,Maldoc associated domain
babysolmatic.com,Domain,Maldoc associated domain
back2youslp.com,Domain,Maldoc associated domain
badjuly.ca,Domain,Maldoc associated domain
balboaislandgoods.com,Domain,Maldoc associated domain
ballantraeestates.ca,Domain,Maldoc associated domain
bamboowarehouse.co,Domain,Maldoc associated domain
bananaemail.email,Domain,Maldoc associated domain
baxtermd.com,Domain,Maldoc associated domain
bd-quik.com,Domain,Maldoc associated domain
beakers.ai,Domain,Maldoc associated domain
beautysupplyliquidation.com,Domain,Maldoc associated domain
bebetternow.ca,Domain,Maldoc associated domain
beppiemusic.ca,Domain,Maldoc associated domain
beralngamam78.xyz,Domain,Maldoc associated domain
bergenglenestates.com,Domain,Maldoc associated domain
bergweltenwinterwandern.de,Domain,Maldoc associated domain
